data_files,lat,long,dis,name,lat_soil,lon_soil
151.225_-27.725.met,-27.725,151.225,0.010949,Soil_100.txt,-27.393,151.41
138.225_-32.725.met,-32.725,138.225,0.057856,Soil_1002.txt,-32.715,138.491
138.725_-32.725.met,-32.725,138.725,0.259744,Soil_1003.txt,-32.775,138.563
139.225_-32.725.met,-32.725,139.225,0.921744,Soil_1003.txt,-32.775,138.563
139.225_-35.225.met,-35.225,139.225,0.077960151,Soil_1015.txt,-35.135396,139.703546
152.225_-27.225.met,-27.225,152.225,0.327905,Soil_102.txt,-27.531,152.338
147.225_-27.725.met,-27.725,147.225,1.53908,Soil_103.txt,-28.037,148.581
147.725_-27.725.met,-27.725,147.725,0.68308,Soil_103.txt,-28.037,148.581
148.225_-27.725.met,-27.725,148.225,0.32708,Soil_103.txt,-28.037,148.581
148.225_-28.225.met,-28.225,148.225,0.01508,Soil_103.txt,-28.037,148.581
148.725_-28.225.met,-28.225,148.725,0.15908,Soil_103.txt,-28.037,148.581
147.225_-28.225.met,-28.225,147.225,0.933665,Soil_108.txt,-28.583,148.226
147.225_-28.725.met,-28.725,147.225,0.575665,Soil_108.txt,-28.583,148.226
147.725_-28.725.met,-28.725,147.725,0.074665,Soil_108.txt,-28.583,148.226
151.725_-27.725.met,-27.725,151.725,0.008421763,Soil_1089.txt,-27.564333,151.953991
147.225_-35.225.met,-35.225,147.225,0.030889125,Soil_1090.txt,-35.115549,147.369477
142.725_-36.225.met,-36.225,142.725,0.003357027,Soil_1091.txt,-35.980698,142.917341
151.225_-27.225.met,-27.225,151.225,0.012125,Soil_11.txt,-27.066,151.413
147.225_-25.725.met,-25.725,147.225,2.251201217,Soil_110.txt,-26.60491,148.46217
147.225_-26.225.met,-26.225,147.225,1.371291217,Soil_110.txt,-26.60491,148.46217
147.225_-26.725.met,-26.725,147.225,0.991381217,Soil_110.txt,-26.60491,148.46217
147.225_-27.225.met,-27.225,147.225,1.111471217,Soil_110.txt,-26.60491,148.46217
147.725_-26.225.met,-26.225,147.725,0.634121217,Soil_110.txt,-26.60491,148.46217
147.725_-26.725.met,-26.725,147.725,0.254211217,Soil_110.txt,-26.60491,148.46217
147.725_-27.225.met,-27.225,147.725,0.374301217,Soil_110.txt,-26.60491,148.46217
148.225_-26.225.met,-26.225,148.225,0.396951217,Soil_110.txt,-26.60491,148.46217
148.225_-26.725.met,-26.725,148.225,0.017041217,Soil_110.txt,-26.60491,148.46217
148.725_-26.725.met,-26.725,148.725,0.01423826,Soil_113.txt,-26.5722765,148.9058947
148.725_-26.225.met,-26.225,148.725,0.167046357,Soil_114.txt,-26.3431257,149.1525664
149.225_-26.225.met,-26.225,149.225,0.239479957,Soil_114.txt,-26.3431257,149.1525664
149.225_-26.725.met,-26.725,149.225,0.121354257,Soil_114.txt,-26.3431257,149.1525664
149.725_-26.225.met,-26.225,149.725,0.134632586,Soil_114.txt,-26.2744333,150.1870667
149.725_-26.725.met,-26.725,149.725,0.085199286,Soil_114.txt,-26.2744333,150.1870667
150.225_-26.225.met,-26.225,150.225,0.172565886,Soil_114.txt,-26.2744333,150.1870667
148.225_-27.225.met,-27.225,148.225,0.085961845,Soil_115.txt,-26.72268,148.62432
148.725_-27.725.met,-27.725,148.725,0.063653625,Soil_117.txt,-27.226468,149.018422
148.725_-27.225.met,-27.225,148.725,0.007977863,Soil_119.txt,-27.063308,148.9616
149.725_-24.725.met,-24.725,149.725,0.029921,Soil_121.txt,-24.42,150.139
150.225_-24.225.met,-24.225,150.225,0.044017,Soil_124.txt,-24.179,150.426
150.725_-24.225.met,-24.225,150.725,0.343017,Soil_124.txt,-24.179,150.426
151.225_-24.725.met,-24.725,151.225,0.331177058,Soil_124.txt,-24.646552,152.024315
150.225_-23.725.met,-23.725,150.225,0.494474,Soil_125.txt,-24.17,150.368
149.225_-25.225.met,-25.225,149.225,0.420209,Soil_127.txt,-24.803,150.1
149.225_-25.725.met,-25.725,149.225,0.842209,Soil_127.txt,-24.803,150.1
149.725_-25.225.met,-25.225,149.725,0.045209,Soil_127.txt,-24.803,150.1
149.725_-25.725.met,-25.725,149.725,0.467209,Soil_127.txt,-24.803,150.1
150.225_-25.725.met,-25.725,150.225,0.592209,Soil_127.txt,-24.803,150.1
150.225_-24.725.met,-24.725,150.225,0.064224042,Soil_128.txt,-24.23232,150.40199
150.725_-24.725.met,-24.725,150.725,0.387234042,Soil_128.txt,-24.23232,150.40199
150.225_-25.225.met,-25.225,150.225,0.153079723,Soil_129.txt,-24.76555,150.14453
149.225_-23.225.met,-23.225,149.225,0.664847287,Soil_130.txt,-23.738524,149.761144
149.225_-23.725.met,-23.725,149.225,0.151323287,Soil_130.txt,-23.738524,149.761144
149.725_-23.225.met,-23.225,149.725,0.628703287,Soil_130.txt,-23.738524,149.761144
149.725_-23.725.met,-23.725,149.725,0.115179287,Soil_130.txt,-23.738524,149.761144
147.225_-23.225.met,-23.225,147.225,0.106445,Soil_131.txt,-22.962,147.801
147.225_-23.725.met,-23.725,147.225,0.369445,Soil_131.txt,-22.962,147.801
147.725_-23.225.met,-23.225,147.725,0.030445,Soil_131.txt,-22.962,147.801
147.725_-25.725.met,-25.725,147.725,1.346965,Soil_133.txt,-24.716,148.853
148.225_-25.225.met,-25.225,148.225,0.209965,Soil_133.txt,-24.716,148.853
148.225_-25.725.met,-25.725,148.225,0.718965,Soil_133.txt,-24.716,148.853
148.725_-25.225.met,-25.225,148.725,0.081965,Soil_133.txt,-24.716,148.853
148.725_-25.725.met,-25.725,148.725,0.590965,Soil_133.txt,-24.716,148.853
147.725_-23.725.met,-23.725,147.725,0.024012722,Soil_134.txt,-23.5211083,148.1229417
